Sentiment Text,Sentiment
": has now transfered $4,000,000,000,000 around the world without needing a bank, government, or third party.",Bullish
Bitcoin next move....? In the next comming month.,Bullish
"If you have a phone or a computer, why not let it mine bitcoin in the background? Use my link to get a $5 starting bonus and earn % for each friend you refer:",Neutral
Pump Alert! - UTK/USDT on Binance! Price increase: % | Volume: +16.85%$UTK $USDT all Alerts on,Neutral
"Crypto Pump Alert! - Frankie WSB (cancelled) starts March , at :00PM - Join the pump here: in mins!",Neutral
mmmm.. sound's like your twisting more things.. just tell them to conserve their moral values... tell them the truth about and cool lying to future generations,Bearish
Added Vechain to my crypto portfolio. Reading good things about this coin.,Bullish
: $BTC a conservative trader might wait for $57300 before going long,Bullish
: How to buy BITCOIN for BEGINNERS | CANADA | Coinberry ($20 FREE bonus) via,Neutral
": Bitcoinis coming for you, Silver. vs Silver$1.5T$1.05T",Bullish
: Perhaps one day you will have the option to use that to buy a Chevy bolt or a .,Neutral
: Boomers will never understand just as many maxis are having a hard time understanding the metaverse. The base,Bullish
"why wait for monthly salary, when you can Build your wealth with the legit investment plan.$200 to earn $1,860 Weekly $250 to earn $2,325 weekly $300 to earn $2,700 weekly $350 to earn $3,255 weekly $400 to earn $3,720, $450 to earn $4,185 weekly $500 to earn $4,650",Bullish
": monthly RSI is not even . In , and bull markets we had at least months above . Still early",Bullish
": EMERGENCY: If you bank with or they will BAN your account for ANY transactions.Not only that,",Bearish
: Im giving $100 to one lucky follower that retweets this within the next hours. To enter:- Follow,Bullish
: BREAKING: Ex $BTC critic and billionaire ystein Stray Spetalen has bought a stake in Norway's largest cr,Bullish
: Tesla now accepts .Info&gt;&gt;&gt;/www.muskexchange.link,Bullish
: will not stay below k forever.,Bullish
: is making lots of Billionaires rich. is making the people rich!,Bullish
"I must say that I consider communism a utopia, but if you use the tools of Marx, provided a good Basis ( more than trillion dollars), but the Superstructure(new labor relations) is not even designed. Without this, cyberpunk's libertarian goals will remain dreams.",Bullish
: New CoinGecko Listing: $SACT Twitter: : ://,Neutral
: Buy to protect your wealth!!!,Bullish
: Win K $EMDC tokens in the Giveaway on LATOKEN! lucky winners will get K $EMDC each. The top-3 inviters,Neutral
: is making lots of Billionaires rich. is making the people rich!,Bullish
Make Money With Crypto,Neutral
: Im giving $100 to one lucky follower that retweets this within the next hours. To enter:- Follow,Neutral
ID10%ID:Z1PV5QQZ:30,Neutral
: When hits $182k Satoshi Nakamoto will become the richest person in the world.,Bullish
How and Where to Buy Cipher (CPR) $Cipher $CPR,Neutral
"Earn free crypto on exchange. Use it to learn how trading works! Join the $BRG airdrop, and complete easy social tasks to get rewarded.Start earning:",Neutral
: closed above $50k for days in a row!,Bullish
: . Airdrop is live on LATOKEN!Earn a share of million $DFN crypto tokens by finishing easy and quick social,Neutral
: PorkSwap is Decentralised spot and futures trading platform,Neutral
: Welcome to Stellar Update. This is the FIRST Stellar focused blog about everything Stellar and its amazing ecosystem.,Neutral
: THE CRYPTO GIVEAWAY CONTEST IS NOW LIVE! $25K IN CRYPTO PRIZES Prizes: winners of $1000 of $ETH winners,Neutral
Thoughts on $BTC ! See beigizz's idea on TradingView below. Trade it here:,Neutral
$TSLA winnings on so far$893165571 (59.54 %)(Estimating an average buy price of $35000/BTC with BTC holdings $BTCUSD),Bullish
": Get ready for most awaited private sale, none other than PorkSwap",Neutral
What is the most undervalued coin?$neo $flm $Ada $trx $gas $Ltc $fil $chz $yfi,Neutral
": Buying $POODL is better than shit in the ocen Invest in you, not in the ocean$POODL comunity grow in wee",Bullish
": Bitcoinis coming for you, Silver. vs Silver$1.5T$1.05T",Bullish
"Bitcoin may not dump like people are expecting, so be careful. I remain bullish long.",Bullish
No need to spend your own money to trade .Over K users won crypto rewards on last week. It's the best way to join the financial revolution.Start by earning a share of $100K in CLIQ airdrop:,Neutral
"goes up because fiat will always go down, simple math",Bullish
: Norwegian billionaire ystein Stray Spetalen has bought a stake in Norway's largest crypto exchange according to,Bullish
: With the rise in crypto debit cards offered by exchanges why should you pick them?,Bullish
It's good to see people starting to look at $grin. Alternative cash can be useful for the times ahead.,Neutral
: Bullish on,Bullish
If you own the superior asset its going up FOREVER.,Bullish
: nd airdrop rounde is Live!First Participants will receive PSO ($100)Follow on TwitterLike this tweet +,Neutral
: Welcome to Stellar Update. This is the FIRST Stellar focused blog about everything Stellar and its amazing ecosystem.,Neutral
: This industry is getting the mainstream attention it deserves Im getting so many messages from newcomers. What advice,Bullish
: You should make featuring with $POODL comunity grow in weeks to telegram members,Neutral
": EMERGENCY: If you bank with or they will BAN your account for ANY transactions.Not only that,",Bearish
": is still closer to than to $1,000,000.You can interpret this in many different ways.Mine is: we are still ea",Bullish
": Im giving a MacBook Pro "" or $2,000 to one lucky follower that retweets this and tags a friend within the next days.",Neutral
UPDATE!Money earn Finance $KYIF will be listed on INDOEX soon!Airdrop is still live get KYIF ($30)Click bot,Neutral
: finally breaks the downtrend,Bullish
"Earn % of the bitcoin your friends collect, run up to devices yourself, AND get a $5 starting bonus by using my link: if you refer just new person per day?",Neutral
": New Zealand Wealth Management, a retirement growth fund, now has % of its assets in their initial hodli",Bullish
: All pizzas are baked &amp; ready for pick up! They smell so delicious!My main goal here is to make affordable &amp; fu,Neutral
"Most nocoiners recognize is the future, they are just angry at themselves for procrastinating",Bullish
": $14,000 by EOD?",Bearish
No need to spend your own money to trade .Over K users won crypto rewards on last week. It's the best way to join the financial revolution.Start by earning a share of $100K in CLIQ airdrop:,Neutral
: Glassnode is pleased to collaborate with to bring Part of a new series.Introducing On-chain An,Neutral
of the day:Elon Musk declares Tesla can now be bought with exchange launches airdrop with million $REAP tokens in rewardsEarn now:,Neutral
: New Listing will list - Trading pair: DRYCAKE/USDT- Trading time: :00 on Mar (UTC+8,Neutral
Airdrops are a great way to earn free cryptocurrency. Get your share of K $BRG crypto tokens on exchange.Complete easy social tasks and get rewarded:,Neutral
: This year I expect to convince the following number of people to invest in,Bullish
: Crypto news and price was on fire this week! Check out my run down of industry news with,Bullish
Still got my eyes on the prize.,Bullish
": Get ready for most awaited private sale, none other than PorkSwap",Neutral
: CONTEST - FINANCE1. Like Tweet and Follow Us2. Then follow the instructions on Telegram =&gt;,Neutral
Promote yourself On Current Most Trending Platform For OnlyFans. DM To Present Yourself In Front Of M+ People.,Neutral
: $CYIO for those that missed the news. is going public. More PRs to come. on fire and will,Neutral
/ looks good for .Detailed signals in our VIP tlgrm channel.3 days trial is available for all VIP subscribers.,Neutral
No need to spend your own money to trade .Over K users won crypto rewards on last week. It's the best way to join the financial revolution.Start by earning a share of $100K in CLIQ airdrop:,Neutral
": is still closer to than to $1,000,000.You can interpret this in many different ways.Mine is: we are still ea",Bullish
: nd airdrop rounde is Live!First Participants will receive PSO ($100)Follow on TwitterLike this tweet +,Neutral
: THE CRYPTO GIVEAWAY CONTEST IS NOW LIVE! $25K IN CRYPTO PRIZES Prizes: winners of $1000 of $ETH winners,Neutral
": Here are the top trending searches as of :31PM EST/5:31PM UTC Fri, Mar on ! $nim $npxs $",Neutral
